story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"A few years ago I was told that I had cancer. A large tumor had
    been discovered on my right kidney and I had surgery to remove the
    kidney. Fortunately the biopsy showed that the tumor was benign and
    there was no cancer. During the years before that I underwent three
    separate surgeries on my lower back for a growth between my 4th and
    5th lumbar vertebrae. As a result I have been unable to walk even
    short distances or stand for even short periods of time without
    extreme pain. I now use a mobility scooter to get around. I have
    held off on telling most friends and colleagues about this because I
    am embarrassed that I need to use this device to get around. In
    addition to the multiple surgeries in the past year and a half, we
    have had some unexpected deaths in both my and my wife’s family,
    which required us to make a number of unplanned out of state trips.
    To make a long story short, we have fallen behind in a number of our
    financial obligations to the extent where I cannot get a loan and
    have run out of options. The biggest is our home mortgage which is a
    number of months behind. I don’t like to ask others for help but it
    has come to the point where I have no choice. And recently we were
    told that my wife has an incurable disease.  All of this has created
    a lot of stress for my family. I do have a job and when things are
    on track our monthly pay covers the bills. But now, each month I
    seem to get further and further behind. I know that things are tough
    all over but if you can help with anything I would appreciate it
    more than you know. Thank you all in advance for any help you can
    provide. I love you all.","12,390",of $15k goal,https://fundrazr.com/d1CIVe,Help Me Keep My Home,70,,U.S. Dollar
"Hi There! We’re a family of four that are in great need of support to help
    our youngest member Justin, recover from Lyme’s Disease, as well as
    rehab off of addictive Schizophrenic medication. In short, he was bitten by a deer tick on an eco-estate, which
    had imported deer from Germany, and he came down with all the
    symptoms of Lyme’s Disease. In South Africa where we stay, there are
    no facilities to test for Lyme’s Disease and doctors automatically
    rule that out as a diagnosis, because it’s widely believed that one
    can’t contract it here. Instead, they misdiagnosed Justin with
    Schizophrenia and placed him on a treatment that seems to have
    caused even more neurological damage in the years to follow. One of the main problems that Justin has is severe insomnia,
    which seems to have gotten way worse since he’s been on the
    anti-psychotic medication. Some of the latest research on insomnia
    suggests that the brain begins to “eat itself” after extended
    periods of sleep deprivation, which we can relate to – sometimes
    Justin is no different to someone with Alzheimer’s Disease or
    Dementia. When Justin sleeps however, the majority of his symptoms
    rapidly improves and we strongly believe with your help that we can
    find a way to reverse his condition! The Plan While spending many hours looking for ways to solve this
    problem, mom found a perfect neurologist in the US who seems to be
    an expert in dealing with cases like Justin’s. Dr Klinghardt
      is an expert in neurology and devising holistic treatment
    protocols to help his patients heal. We believe that this doctor
    will be able to accurately diagnose and treat Justin. In addition,
    we also have found various medical centers that test genetics
    (unlike in South Africa) so that we may get an exact understanding
    of Justin’s condition. We need funds to fly to the US to receive proper diagnosis and
  treatment . We need a total of $50K to cover our basic costs
  (it may cost more depending on what the doctor says). We will need to
  stay overseas for up to six months and this funding will cover
  airfares, modest accommodation, diagnostic tests and Justin’s
  treatment for six months. We believe that Dr Klinghardt, in combination with genetic profiling
  will get to the root of the problem. You can find out more info about
  him here: http://drklinghardt.com/ https://www.youtube.com/watch?v=oKx_TMPQJsY The Full Story Every day that passes we watch Justin slip further away both
    physically and mentally … Some days are better than others … He
    suffers so much in his confused exhaustion that it’s hard to witness
    and difficult to live with. We honestly don’t know how he manages to
    continue, and so bravely, when his nightmare never seems to end. Justin’s problems began after he was misdiagnosed with
      Schizophrenia almost 4 years ago following a tick bite. The eco-estate we lived on at that time, had a private game
    reserve that included imported deer from Europe, amongst a variety
    of other game. Justin contracted his bite whilst being taken for a
    walk by our two huskies in the game park. He lost his balance and
    was dragged along for a short way. Two days later, mom spotted a
    tick on his leg and removed it. She noticed that it was unlike any
    of the species we normally see in South Africa. After searching for
    ticks on google images, we saw that it was identical to ticks that
    are found on deer in Europe and in the US; and that they are the
    ones that give people a disease called Lyme’s disease. In
      South Africa, there is no test for Lyme’s Disease, since
    it is widely believed that we don’t have ticks that transmit this
    disease in our country. In the year before, our dad died suddenly when he was
      hit by a car as he was crossing a street. We had no
    choice but to use the local government hospital to treat Justin’s
    condition, as we couldn’t afford private health care. The hospital
    staff dismissed our fears of Lyme’s disease from the start, and
    because he had been depressed and suffered from insomnia after dad’s
    death, they concluded that Justin had Schizophrenia. Initially, the
    anti-psychotic meds and benzodiazepines showed a modest improvement,
    but Justin became severely sleep deprived and was unable to sleep
    deeply or experience life normally. After a few months, a family friend donated funds so that we
    could treat Justin privately. He was taken off the hospital
    medications and slowly started to recover with a natural holistic
    program. He made steady progress in this
    time. Although he was not the same person as before, he was
    at least able to play the piano again and integrate back into being
    a part of the family. During this time, mom stopped working and his
    older brother moved back home to help us (sister and mom) care for
    him, as well as put food on the table. The medical expenses were
    exorbitant and after a year we could no longer continue with private treatment. By the end of 2015, two years after Justin’s initial tick bite, he was bitten a second time , but this time it was
    by one of our local ticks. It's usually fairly easy to recover from
    an acute bout of tick bite fever from these ticks, but in Justin’s
    case the whole nightmare we thought was behind us began all over
    again … We had to rush him intohospital and this
    time he was put on even stronger anti-psychotic medication. The
    doctors we saw (a different one every time) believed that he had
    relapsed because we had taken him off the previous prescription
    of anti-psychotic meds. In spite of the latest medication, Justin has not recovered
    since and in the last 18 months he has deteriorated rapidly. He has
    lost over 24 kilograms in the last 7 months. He sleeps a few hours
    every 4 -5 nights. He has dream states and rapid eye movements in
    mid sentence and his memory is not functional. He has become very
    childlike and needs constant supervision and input. Since
      being on the benzodiazepine medicine, he has also developed
      obsessive behaviors , like having the same conversations
    over and over, bingeing on food or pacing in continuous loops
    through the house. He is very stressed and unable to relate to
    people or even our animals, although he adored them before and used
    to spend the most time with them. The medications have not worked and we believe that they are
      making his condition worse - he has become a hollow shell of his former beautiful self.
    The hospital’s staff says that there is nothing we can do; except
    put him on even stronger medications and put him into a government
    institution. The place they recommend has a ghastly reputation and
    is like a prison for the insane - it's like giving him a living
    death sentence. Our family feels that this is outrageous – it is not
    a solution and we cannot agree to just give up on Justin, especially
    after we have already seen him nearly recovered the first time!
    Justin needs expert help that is not available in our
    under-resourced public health system. After reviewing all the
    research we could find, we believe that we need to take him
      overseas to the US to get a proper diagnosis and appropriate treatment.",105,of $50k goal,https://fundrazr.com/41GoD5,Justin's Journey,3,"Nov 13, 2017",U.S. Dollar
"OUR GAME PLAN We are looking into effective alternative treatments to try to
    save Mom's life. She needs cancer-killing herbs, roots, oils, a raw
    foods diet, and we might even consider a trip to the States to a
    cancer clinic that has had a high success rate in treating people
    with cancer, plus we’re trying to get her moved back to B.C. so she can be
    near to family during this difficult time. The costs she faces are considerable, and unfortunately,
    alternative treatments aren’t recognized or covered under most
    health plans, and standard treatments also entail costs, both of
    which are looming on the horizon. Mom has grappled with health problems for years and suffers with
    pain each day, and yet in spite of this, she has reached out to help
    others heal emotionally. I’m praying that in her time of need, her friends and
    acquaintances will come to her aid. This would pave the way for her to get the treatments she needs
    to win this terrible battle she faces. ABOUT MY MOM From an early age, Mom shared a deep bond with animals. She
    traveled to the tropics and was captivated by the parrots there. In
    later years, she worked with abused parrots and rehabilitated them,
    teaching them to trust and love again. My mom has always been deeply touched by music and she is a
    talented guitarist and plays the piano. One of her favorite piano
    pieces is Clair de Lune by Debussy. She’s also an author and needs more time to finish and publish
    the books she was working on before she fell ill. She is my mother and a loving grandmother and we don't want her
    life cut short, nor have her torn away from us. One of her greatest
    wishes is to have more years to spend with us. LET’S HELP MAKE HER WISHES COME TRUE If you decide to donate to this fundraiser, any gift, whether
    large or small, will be deeply appreciated, and we thank you from
    the bottom of our hearts. Your actions may make a huge difference to
    Mom’s life and to all those who care about her and who don’t want to
    lose her.","1,450",of $20k goal,https://fundrazr.com/41FO1c,PLEASE HELP SAVE MY MOM,11,,Canadian Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",110,of $500 goal,https://fundrazr.com/41Gvj8,Help me get Jack Enchroma glasses,3,"Sep 21, 2017",U.S. Dollar
"Do you know Michelle, like I know Michelle? I first met Michelle
  almost 8 years ago when we were taking a course together. We became
  fast friends as we shared a love of family, food and life. Her
  positive and caring spirit along with her amazing sense of humor have
  always inspired me. She has made a career as an incredibly talented
  Stylist and has shared her passion with a great many colleagues and
  students over the past 23 years. Just over a year ago, upon returning home from a business trip to
  California, Michelle started experiencing minor symptoms of not
  feeling well and knew that something was off. There is no way any of
  us could have predicted what would follow. It turned out that Michelle
  was in Congestive Heart Failure and was taken by Air Ambulance out of
  Williams Lake so that further diagnostic tests could be performed. Her
  husband Jamie was working out in the middle of the Chilcoltin and it
  was uncertain if we would be able to contact him. By the efforts of an
  amazing friend, he was reached and given the shocking news that his
  wife was in Cardiac Failure. The results of these early test had her
  referred to much more specialized Doctors in Vancouver at St. Paul's
  Hospital. She was admitted to hospital to undergo more specialized and
  invasive tests and underwent surgery to implant a Cardiac
  Defibrillator. Immediately prior to discharge Michelle was informed
  that she would need to have a Heart Transplant and that she would need
  to be on a regimen of extensive medications and dietary restrictions
  to stabilize her heart while we waited for transplant. This was
  shocking news to say the least. Michelle had been tested from an early
  age on a regular basis because a heart condition ran in her family.
  Her older brother died of a sudden cardiac event at age 15 in 1982 and
  her Father in January of 1990. No cardiac symptoms presented in
  Michelle and by age 32 she figured that she didn't have the genetic
  defect, and like so many others, found herself without a Family
  Physician so did not undergo further cardiac testing for over a decade. Michelle has not been able to work since May of 2016 and has had to
  travel to Vancouver from Williams Lake several times over the last
  year to see the team of Transplant Doctors. With becoming a single
  income household, she is anxious as to how to pay for the upcoming
  expenses that will be incurred for Transplant, a burden she does not
  want to leave to her Husband, Jamie, to figure out. Recently Michelle and Jamie were evacuated from their home due to the
  wildfires surrounding their hometown here in BC. They spent 3 weeks
  away from home and it was while they were evacuated that Michelle got
  the news that she is now ""active"" on the Transplant list.
  This means that BC Transplant is actively looking for a Donor Heart
  match for her and that they could get the call at anytime. Michelle will have to remain in Vancouver post-surgery in order to be
  monitored for symptoms of rejection and infection. She will not be
  able to be on her own in the weeks and months immediately following
  surgery and it is anticipated that she will have to remain in
  Vancouver for up to 12 months to participate in the rehabilitation process. I have always known Michelle to be kind and thoughtful and usually is
  happiest helping others or feeding people. She has a joyful and
  generous spirit and is beloved by many but especially friends and
  family. Will you help Michelle and Jamie and alleviate the pressure of
  this monumental journey they are about to go through? Even the
  smallest donation will help. Please donate today and help this very
  special person not have to worry and be focused on her recovery.","2,290",of $30k goal,https://fundrazr.com/newheartformichelle,Please help us fund Michelle's Heart Transplant,24,"Jul 1, 2018",Canadian Dollar
"Hello, we are Megan and Mark. Over three years ago Megan gave birth
  to our beautiful baby girl, Ireland. However, during birth, an
  umbilical cord prolapse resulted in Ireland having cererbal palsy. She
  spent the first 7 weeks of life in the hospital, and we waitied
  anxiously to take her home to her older brothers. This was our first real world experience with cerebral palsy. Many
  people we talk to today don't even know what cerebral palsy is.
  Cerebral palsy is a variable type of brain injury that affects people
  in many different ways. Some children are only slightly affected,
  while others are permamently disabled, wheelchair-bound, and need
  constant attendant care. Cerebral palsy makes a huge impact on the family dynamic. Not only
  are many cerebral palsy families financially dessimated by this
  disease, but they are also stressed emotionally and physically. There are no treatments out there that are covered by insurance to
  treat or reverse cererbal palsy. However, there are many, many
  therapies available worldwide that improve cerebral palsy, and can
  have significant impacts on quality of life. Unfortunately, most of
  these therapies are difficult to obtain due to lack of insurance
  coverage and travel costs. We were lucky enough to discover and utilize many of these therapies
  for Ireland, and have seen dramatic improvements in her since using
  these therapies. We truly believe that no child with cerebral palsy
  should have his or her treatment options limited by his or her
  parent's financial status. Out of this belief, Ireland's Dream was born. Ireland's Dream is to establish a medical center that is fully
  dedicated to the treatment of people with cerebral palsy and their
  families. This Center will have the latest in treatment technologies
  that people all over the world are using for cerebral palsy, available
  under one roof. These therapies include hyperbaric oxygen, ozone
  therapy, Cuevas Medek therapy, scoliosis treatment, and vibration
  therapy. Other necessary therapies will include family counseling,
  diet/nutritional interventions, feeding therapy, assistive device
  training, and more. Our goal is to make cerebral palsy synonymous with Ireland's Dream.
  Please help us make Ireland's Dream come true for patients all over
  the country who are suffering from the debilitating disease. We thank you greatly for any support you can provide.","1,442",of $500k goal,https://fundrazr.com/f13EF1,Help Us Make Ireland's Dream a Reality!,20,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",420,of $349 goal,https://fundrazr.com/21HJOb,Help Aaron get colorblind glasses for his birthday,9,"Oct 10, 2017",U.S. Dollar
"Mid March 2017 our CEO Jackie Crank's daughter Nicole, our WCPT
    Director of Opportunities, was diagnosed with advanced colon cancer. A strong, inspiring and incredibly remarkable woman, of a tender
    young age of 32 in her early months of motherhood facing a fierce
    fight against the odds to outwit this disease. For anyone who knows the Crank family you will know how close
    Peter and Jackie are with their 3 children. Jackie, Peter, Sean and Liam want and need to be a part of
    Nicole's battle and will spend the majority of their time in
    Melbourne to support her husband Tim and their 8 month old baby boy
    Joshua. WCPT is a family run and operated small business. To be with
    Nicole, Jackie and Peter need to organise a Melbourne WCPT base,
    including rental accommodation, a remote work space, and ongoing
    access to a film studio and video conferencing facility, among other
    things. Jackie will also need to be traveling regularly to Perth to
    our Joondalup Headquarters undertake duties that need her in person. We are getting offers of support from so many of our wonderful
    extended WCPT family and friends and so many ""if there is
    anything I can do to help""s... and now you can. The temporary glue at WCPT (because we believe & know the
    battle will be won), Brooklyn & Lee have started a fund for the
    Crank/Cooper family to support and continue their family run and
    owned business you all know and love. Another way you can help is with your consideration when looking
    for CPD points and if at all possible choose us as your preferred
    training partner. And tell all of your real estate friends! WCPT
    - CPD Sessions Any funds we can raise at this time of need will be much
    appreciated and funnelled to help Nicole fight the scourge of our millennium. Follow our Facebook page at: WCPT Facebook Page Nicole undergoes her first aggressive Chemo treatment today
    -29/03/2017 - nothing but love and good vibes from us. We've got
    this with you!","1,900",of $5k goal,https://fundrazr.com/f1Dun2,WCPT Love & Good Vibes fund for Nicole,12,,Australian Dollar
"The Human Microbiome Project and other microbiome projects worldwide
  have laid an important foundation for understanding the trillions of
  microbes that inhabit our bodies and their impact on health and
  disease. However, opportunities for the public to get involved in such
  research have been limited. Now, American Gut gives you an opportunity
  to join this research project and learn what’s living on and inside you American Gut is a project built on open-source, open-access
  principles. The data we collect is de-identified and then deposited
  into open repositories for the benefit of other researchers and scientists. Join the project! Joining is simple! Select the kit you would like from the list of
  options on the left-hand side by clicking “Claim this perk”. Your kit
  will be sent via mail within 1-2 weeks after payment. International participants are also welcome to join. However, please
  note that a $25 shipping fee does apply. We ask that samples be sent
  back to our lab within 48-72 hours. The cost of expedited shipping to
  our lab in the US from some locations can be expensive, so it is also
  recommended that you look into the cost of return shipping. If you are currently residing in Europe, visit our sister site the British Gut to join this
  research project. A few important points to remember before joining this
    research project: 1. Note your de-identified information will be part of a research
  study and will be made available in a publicly available research
  database. That is, any personal information that might easily identify
  who you are will be removed before being placed in the public database. 2. If you decide that you no longer wish to continue in this study,
  you will be requested to contact the American Gut Project help line
    ( info@americangut.org ) to inform us of your intent
  to withdraw. You may request a refund within 50 days of your original
  payment if you have not yet used your kit. Please note that the
  Fundrazr transaction fee will be deducted from your refund. 3. The consent forms are maintained on the participant website;
  details are included in your kit. To sign the consent form, you must
  agree to use an electronic format for your signature in accordance
  with the United States' eSIGN Act and California's UETA Act. You have
  the right to obtain the electronic record in a non-electronic form. 4. The results you receive from submitting a sample are not meant to
  act as medical or health diagnoses. We will not be able to provide any
  clinical or medical information from your results. You may find a full overview of the project at http://humanfoodproject.com/americangut/ , or visit
  us at www.americangut.org .","1,508,515",,https://fundrazr.com/americangut,American Gut,,,
"I am Michael Maberry's wife, we have been married for 5 years
    in October and friends for 6 years. Michael has worked since he was
    14. He had a great work ethic and worked not only his full time job
    but side jobs. He was a mechanic and painter a nd
    his main career was for 30+years as a Manager and District Manager
    in the Grocery field. In September 2015 his life was changed forever. As he was
    closing at his new job for the night, two armed men came in and
    robbed the store. He was beaten for over 20 minutes against the safe
    and with the handgun. Michael has had both knees operated on due to
    being slammed to the floor numerous times. He now has black out
    seizures, some are in the brain and many of the seizures are Grand
    Mal. In April of this year I came home to find him in a continual
    seizure episode. He was hospitilized and in ICU. His hospital stay
    ran for a week and I lost income due to having to stay with him. His
    diagnosis is TBI, PTSD and 80% loss of hearing on his left side (we
    are awaiting surgery on that issue); he will never be able to work
    according to his Doctors and he is unable to drive so, we have to
    pay for his rides to therapy, Doctors visits etc. Our medical bills are mounting and there has been no place to
    go for needed items. We have applied for his SSD but they are in the
    hearing stage which can be another 18 months. We have monthly
    expenses for monitors to keep him safe, and the loss of his income
    has left us with no savings and behind on bills. We have filed for
    everything under the sun but we are still waiting, with no end in
    sight. Our needs are to pay his medical bills, maintain payment on
    his fall detection monitor, get him a new cane and pay for the
    numerous supplements that he has to take. If all bills get paid with
    this campaign, I'd also be exlploring hyperbaric treatment; studies
    have shown tremendous results with traumautic brain injury.We are
    optimistic with quality care and less stress that he will be able to
    maintain living safely in our home.","2,090",of $15k goal,https://fundrazr.com/michaelmaberryshealthfund,Help for a Victim of Assault and Robbery,28,"Dec 1, 2017",U.S. Dollar
"This fundraiser is to cover the costs for fighting
    the censorship of corporate greed Since 2009 , tatoott1009 (Jay Lee)
    has made new discoveries, developed multiple theories, and reached
    national level media on several topics ranging from Yellowstone
    Supervolcano to the CERN LHC.. Jay Lee has been pushing day in and
    day out in the fight for freedom against corporate government since
    the mid-1990's; all the way back to shortwave broadcasting
    underground news before the internet. This ongoing fundraiser is
    intended to provide all the necessary funding needed for multiple
    recent shutdowns, shutoffs, and blatant censorship of the corporate
    government, this has caused a negative effect on the ability for
    operation costs to be met, thus the creation of this fundraiser is
    necessary. Please help if you can Afford it ! Anything sent to my
    operation will help me survive during this severe censorship, and
    help spread Freedom to the world. to everyone who has helped over
    the past ! much love for the help and THANK YOU. tatoott1009
    Revolution CERN (LHC) Tatoott1009Reloaded CERN (LHC) Please Help If You Can Jay Lee.","5,074",of $5k goal,https://fundrazr.com/f1GKB7,This Fundraiser Is To Cover The Costs Illness,40,"Sep 29, 2017",U.S. Dollar
"Matthew's Story: Matthew is a beautiful and special child with lots of people who love
  and adore him. Since day one of this fight with leukaemia he has
  tackled this disease with a smile on his face and a hopeful look of
  strength that comforts everyone who sees him. His loving parents and wonderful big sister Emily stay with him 24
  hours a day during his fight against cancer. His mother had to give up
  her day care and career in order to protect Mathew and be by his side
  during this hard time. His father has been puting Mathew first as well. Many people have have been there for the family in prayers, visits,
  phone calls, gifts, teddy bears, toys, dinners, and solidarity and
  have been searching for a way to make this easier for this great family. This donation space will provide an outlet for everyone to give and
  share in Mathews path and future. Travel, time off work, eating
  properly, making a safe home, and care for Mathew and his sister can
  be an expensive and stressful addition to an already stressful situation. All donations are appreciated - give what you can:) Prayers are
  welcomed and appreciated also.","7,315",of $50k goal,https://fundrazr.com/matthewsfight,Funding Matthew's fight against Leukaemia,80,,Canadian Dollar
"Robert Seth Hayes is one of the longest held political prisoners in
  the US. After returning from the Vietnam War, Seth joined the Black
  Panther Party and was later imprisoned for his involvement in the
  struggle for Black Liberation. Seth was sentenced to 25 years to life, which means after
  serving 25 years he is eligible for parole. Seth has now been locked
  in prison for 42 years and unjustly denied parole on 10 occasions.
  Seth has a large and loving family and supportive community who yearn
  for his release. Seth turns 67 this year and suffers from multiple
  chronic medical problems. We are waging a campaign for Seth concerning his ailing health.
  With proper medical care, Seth's health issues could be under control
  but the horribly inadequate health care during his incarceration
  places him at grave risk. The combination of repetitive parole denials
  and neglectful medical care equates to a extrajudicial death sentence
  for Seth. In addition struggling to receive medical care, Seth is also
  fighting for his constitutional rights at the parole board. Seth is a
  model prisoner and meets all criteria for release, yet has been
  repetitively denied parole for no other reason than ""the serious
  nature of the original crime."" This essentially means that the
  Parole Board is taking it upon themselves to re-sentence Seth to life
  in prison without the possibility parole. Seth is challenging this
  violation of his constitutional rights with a Habeas petition. Seth needs our support. Please make a contribution to this
  campaign to win justice and freedom for a brother who has sacrificed
  so much for us all!","3,143",of $10k goal,https://fundrazr.com/810a58,Support Black Panther Robert Seth Hayes!,73,,U.S. Dollar
"WHAT IS ENCHROMA? I have been color blind my whole life and cannot see reds, greens,
  oranges or any color in between, I see these colors as muted greys and
  browns. Yellow and blue are my favorite colors because I can see them.
  Recently I was granted admisssion to graduate school in applied
  geography studying geomorphology and the climate. Maps and other
  activities associated with this major make it difficult for me to
  perceive what a maps story is trying to tell me. This semester I am in
  a soils class which I profile layers of soil but my inability to see
  color in the reds has me struggling to accurately see these profiles
  correctly. I am usually not one of those people who ask for much and I
  consider myself more of a giver. This would change my world and life
  experiences for years to come. I appreciate you reading my story and
  hope you consider donating to my cause. Thank You! Over 300 million
  people worldwide are affected by red-green color vision deficiency,
  also called color blindness. Enchroma has created glasses which
  enhance color vision without the compromise of color accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",600,of $600 goal,https://fundrazr.com/01HGr0,Help Devin in Grad school to see color!,14,,U.S. Dollar
