Month,Starting Balance,Repayment,Interest Paid,Principal Paid,New Balance,term,interest_rate,car_type
53,5355.61,687.23,31.33,655.9,4699.71,60,0.0702,Toyota Sienna
54,4699.71,687.23,27.49,659.74,4039.97,60,0.0702,Toyota Sienna
55,4039.97,687.23,23.63,663.6,3376.37,60,0.0702,Toyota Sienna
56,3376.37,687.23,19.75,667.48,2708.89,60,0.0702,Toyota Sienna
57,2708.89,687.23,15.84,671.39,2037.5,60,0.0702,Toyota Sienna
58,2037.5,687.23,11.91,675.32,1362.18,60,0.0702,Toyota Sienna
59,1362.18,687.23,7.96,679.27,682.91,60,0.0702,Toyota Sienna
60,682.91,687.23,3.99,683.24,-0.33,60,0.0702,Toyota Sienna
1,34689.96,632.47,103.78,528.69,34161.27,60,0.0359,Toyota Sienna
2,34161.27,632.47,102.19,530.28,33630.99,60,0.0359,Toyota Sienna
3,33630.99,632.47,100.61,531.86,33099.13,60,0.0359,Toyota Sienna
4,33099.13,632.47,99.02,533.45,32565.68,60,0.0359,Toyota Sienna
5,32565.68,632.47,97.42,535.05,32030.63,60,0.0359,Toyota Sienna
6,32030.63,632.47,95.82,536.65,31493.98,60,0.0359,Toyota Sienna
7,31493.98,632.47,94.21,538.26,30955.72,60,0.0359,Toyota Sienna
8,30955.72,632.47,92.6,539.87,30415.85,60,0.0359,Toyota Sienna
9,30415.85,632.47,90.99,541.48,29874.37,60,0.0359,Toyota Sienna
10,29874.37,632.47,89.37,543.1,29331.27,60,0.0359,Toyota Sienna
11,29331.27,632.47,87.74,544.73,28786.54,60,0.0359,Toyota Sienna
12,28786.54,632.47,86.11,546.36,28240.18,60,0.0359,Toyota Sienna
13,28240.18,632.47,84.48,547.99,27692.19,60,0.0359,Toyota Sienna
14,27692.19,632.47,82.84,549.63,27142.56,60,0.0359,Toyota Sienna
15,27142.56,632.47,81.2,551.27,26591.29,60,0.0359,Toyota Sienna
16,26591.29,632.47,79.55,552.92,26038.37,60,0.0359,Toyota Sienna
17,26038.37,632.47,77.89,554.58,25483.79,60,0.0359,Toyota Sienna
18,25483.79,632.47,76.23,556.24,24927.55,60,0.0359,Toyota Sienna
19,24927.55,632.47,74.57,557.9,24369.65,60,0.0359,Toyota Sienna
20,24369.65,632.47,72.9,559.57,23810.08,60,0.0359,Toyota Sienna
21,23810.08,632.47,71.23,561.24,23248.84,60,0.0359,Toyota Sienna
22,23248.84,632.47,69.55,562.92,22685.92,60,0.0359,Toyota Sienna
23,22685.92,632.47,67.86,564.61,22121.31,60,0.0359,Toyota Sienna
24,22121.31,632.47,66.17,566.3,21555.01,60,0.0359,Toyota Sienna
25,21555.01,632.47,64.48,567.99,20987.02,60,0.0359,Toyota Sienna
26,20987.02,632.47,62.78,569.69,20417.33,60,0.0359,Toyota Sienna
27,20417.33,632.47,61.08,571.39,19845.94,60,0.0359,Toyota Sienna
28,19845.94,632.47,59.37,573.1,19272.84,60,0.0359,Toyota Sienna
29,19272.84,632.47,57.65,574.82,18698.02,60,0.0359,Toyota Sienna
30,18698.02,632.47,55.93,576.54,18121.48,60,0.0359,Toyota Sienna
31,18121.48,632.47,54.21,578.26,17543.22,60,0.0359,Toyota Sienna
32,17543.22,632.47,52.48,579.99,16963.23,60,0.0359,Toyota Sienna
33,16963.23,632.47,50.74,581.73,16381.5,60,0.0359,Toyota Sienna
34,16381.5,632.47,49.0,583.47,15798.03,60,0.0359,Toyota Sienna
35,15798.03,632.47,47.26,585.21,15212.82,60,0.0359,Toyota Sienna
36,15212.82,632.47,45.51,586.96,14625.86,60,0.0359,Toyota Sienna
37,14625.86,632.47,43.75,588.72,14037.14,60,0.0359,Toyota Sienna
38,14037.14,632.47,41.99,590.48,13446.66,60,0.0359,Toyota Sienna
39,13446.66,632.47,40.22,592.25,12854.41,60,0.0359,Toyota Sienna
40,12854.41,632.47,38.45,594.02,12260.39,60,0.0359,Toyota Sienna
41,12260.39,632.47,36.67,595.8,11664.59,60,0.0359,Toyota Sienna
42,11664.59,632.47,34.89,597.58,11067.01,60,0.0359,Toyota Sienna
43,11067.01,632.47,33.1,599.37,10467.64,60,0.0359,Toyota Sienna
44,10467.64,632.47,31.31,601.16,9866.48,60,0.0359,Toyota Sienna
45,9866.48,632.47,29.51,602.96,9263.52,60,0.0359,Toyota Sienna
46,9263.52,632.47,27.71,604.76,8658.76,60,0.0359,Toyota Sienna
47,8658.76,632.47,25.9,606.57,8052.19,60,0.0359,Toyota Sienna
48,8052.19,632.47,24.08,608.39,7443.8,60,0.0359,Toyota Sienna
49,7443.8,632.47,22.26,610.21,6833.59,60,0.0359,Toyota Sienna
50,6833.59,632.47,20.44,612.03,6221.56,60,0.0359,Toyota Sienna
51,6221.56,632.47,18.61,613.86,5607.7,60,0.0359,Toyota Sienna
52,5607.7,632.47,16.77,615.7,4992.0,60,0.0359,Toyota Sienna
53,4992.0,632.47,14.93,617.54,4374.46,60,0.0359,Toyota Sienna
54,4374.46,632.47,13.08,619.39,3755.07,60,0.0359,Toyota Sienna
55,3755.07,632.47,11.23,621.24,3133.83,60,0.0359,Toyota Sienna
56,3133.83,632.47,9.37,623.1,2510.73,60,0.0359,Toyota Sienna
57,2510.73,632.47,7.51,624.96,1885.77,60,0.0359,Toyota Sienna
58,1885.77,632.47,5.64,626.83,1258.94,60,0.0359,Toyota Sienna
59,1258.94,632.47,3.76,628.71,630.23,60,0.0359,Toyota Sienna
60,630.23,632.47,1.88,630.59,-0.36,60,0.0359,Toyota Sienna
1,21600.0,636.76,70.2,566.56,21033.44,36,0.039,Toyota Corolla
2,21033.44,636.76,68.35,568.41,20465.03,36,0.039,Toyota Corolla
3,20465.03,636.76,66.51,570.25,19894.78,36,0.039,Toyota Corolla
4,19894.78,636.76,64.65,572.11,19322.67,36,0.039,Toyota Corolla
5,19322.67,636.76,62.79,573.97,18748.7,36,0.039,Toyota Corolla
6,18748.7,636.76,60.93,575.83,18172.87,36,0.039,Toyota Corolla
7,18172.87,636.76,59.06,577.7,17595.17,36,0.039,Toyota Corolla
8,17595.17,636.76,57.18,579.58,17015.59,36,0.039,Toyota Corolla
9,17015.59,636.76,55.3,581.46,16434.13,36,0.039,Toyota Corolla
10,16434.13,636.76,53.41,583.35,15850.78,36,0.039,Toyota Corolla
11,15850.78,636.76,51.51,585.25,15265.53,36,0.039,Toyota Corolla
12,15265.53,636.76,49.61,587.15,14678.38,36,0.039,Toyota Carolla
13,14678.38,636.76,47.7,589.06,14089.32,36,0.039,Toyota Corolla
14,14089.32,636.76,45.79,590.97,13498.35,36,0.039,Toyota Corolla
15,13498.35,636.76,43.86,592.9,12905.45,36,0.039,Toyota Corolla
16,12905.45,636.76,41.94,594.82,12310.63,36,0.039,Toyota Corolla
17,12310.63,636.76,40.0,596.76,11713.87,36,0.039,Toyota Corolla
18,11713.87,636.76,38.07,598.69,11115.18,36,0.039,Toyota Corolla
19,11115.18,636.76,36.12,600.64,10514.54,36,0.039,Toyota Corolla
20,10514.54,636.76,34.17,602.59,9911.95,36,0.039,Toyota Corolla
21,9911.95,636.76,32.21,604.55,9307.4,36,0.039,Toyota Carolla
22,9307.4,636.76,30.24,606.52,8700.88,36,0.039,Toyota Corolla
23,8700.88,636.76,28.27,608.49,8092.39,36,0.039,Toyota Corolla
24,8092.39,636.76,26.3,610.46,7481.93,36,0.039,Toyota Corolla
25,7481.93,636.76,24.31,612.45,6869.48,36,0.039,Toyota Corolla
26,6869.48,636.76,22.32,614.44,6255.04,36,0.039,Toyota Corolla
27,6255.04,636.76,20.32,616.44,5638.6,36,0.039,Toyota Corolla
28,5638.6,636.76,18.32,618.44,5020.16,36,0.039,Toyota Corolla
29,5020.16,636.76,16.31,620.45,4399.71,36,0.039,Toyota Corolla
30,4399.71,636.76,14.29,622.47,3777.24,36,0.039,Toyota Corolla
31,3777.24,636.76,12.27,624.49,3152.75,36,0.039,Toyota Carolla
32,3152.75,636.76,10.24,626.52,2526.23,36,0.039,Toyota Corolla
33,2526.23,636.76,8.21,628.55,1897.68,36,0.039,Toyota Corolla
34,1897.68,636.76,6.16,630.6,1267.08,36,0.039,Toyota Corolla
35,1267.08,636.76,4.11,632.65,634.43,36,0.039,Toyota Corolla
36,634.43,636.76,2.06,634.7,-0.27,36,0.039,Toyota Corolla
1,21600.0,486.74,70.2,416.54,21183.46,48,0.039,Toyota Carolla
2,21183.46,486.74,68.84,417.9,20765.56,48,0.039,Toyota Carolla
3,20765.56,486.74,67.48,419.26,20346.3,48,0.039,Toyota Carolla
4,20346.3,486.74,66.12,420.62,19925.68,48,0.039,Toyota Carolla
5,19925.68,486.74,64.75,421.99,19503.69,48,0.039,Toyota Carolla
6,19503.69,486.74,63.38,423.36,19080.33,48,0.039,Toyota Carolla
7,19080.33,486.74,62.01,424.73,18655.6,48,0.039,Toyota Carolla
8,18655.6,486.74,60.63,426.11,18229.49,48,0.039,Toyota Carolla
9,18229.49,486.74,59.24,427.5,17801.99,48,0.039,Toyota Carolla
10,17801.99,486.74,57.85,428.89,17373.1,48,0.039,Toyota Carolla
11,17373.1,486.74,56.46,430.28,16942.82,48,0.039,Toyota Carolla
12,16942.82,486.74,55.06,431.68,16511.14,48,0.039,Toyota Carolla
13,16511.14,486.74,53.66,433.08,16078.06,48,0.039,Toyota Carolla
14,16078.06,486.74,52.25,434.49,15643.57,48,0.039,Toyota Carolla
15,15643.57,486.74,50.84,435.9,15207.67,48,0.039,Toyota Carolla
16,15207.67,486.74,49.42,437.32,14770.35,48,0.039,Toyota Carolla
17,14770.35,486.74,48.0,438.74,14331.61,48,0.039,Toyota Carolla
18,14331.61,486.74,46.57,440.17,13891.44,48,0.039,Toyota Carolla
19,13891.44,486.74,45.14,441.6,13449.84,48,0.039,Toyota Carolla
20,13449.84,486.74,43.71,443.03,13006.81,48,0.039,Toyota Carolla
21,13006.81,486.74,42.27,444.47,12562.34,48,0.039,Toyota Carolla
22,12562.34,486.74,40.82,445.92,12116.42,48,0.039,Toyota Carolla
23,12116.42,486.74,39.37,447.37,11669.05,48,0.039,Toyota Carolla
24,11669.05,486.74,37.92,448.82,11220.23,48,0.039,Toyota Carolla
25,11220.23,486.74,36.46,450.28,10769.95,48,0.039,Toyota Carolla
26,10769.95,486.74,35.0,451.74,10318.21,48,0.039,Toyota Carolla
27,10318.21,486.74,33.53,453.21,9865.0,48,0.039,Toyota Carolla
28,9865.0,486.74,32.06,454.68,9410.32,48,0.039,Toyota Carolla
29,9410.32,486.74,30.58,456.16,8954.16,48,0.039,Toyota Carolla
30,8954.16,486.74,29.1,457.64,8496.52,48,0.039,Toyota Carolla
31,8496.52,486.74,27.61,459.13,8037.39,48,0.039,Toyota Carolla
32,8037.39,486.74,26.12,460.62,7576.77,48,0.039,Toyota Carolla
33,7576.77,486.74,24.62,462.12,7114.65,48,0.039,Toyota Carolla
34,7114.65,486.74,23.12,463.62,6651.03,48,0.039,Toyota Carolla
35,6651.03,486.74,21.61,465.13,6185.9,48,0.039,Toyota Carolla
36,6185.9,486.74,20.1,466.64,5719.26,48,0.039,Toyota Carolla
37,5719.26,486.74,18.58,468.16,5251.1,48,0.039,Toyota Carolla
38,5251.1,486.74,17.06,469.68,4781.42,48,0.039,Toyota Carolla
39,4781.42,486.74,15.53,471.21,4310.21,48,0.039,Toyota Carolla
40,4310.21,486.74,14.0,472.74,3837.47,48,0.039,Toyota Carolla
41,3837.47,486.74,12.47,474.27,3363.2,48,0.039,Toyota Carolla
42,3363.2,486.74,10.93,475.81,2887.39,48,0.039,Toyota Carolla
43,2887.39,486.74,9.38,477.36,2410.03,48,0.039,Toyota Carolla
44,2410.03,486.74,7.83,478.91,1931.12,48,0.039,Toyota Carolla
45,1931.12,486.74,6.27,480.47,1450.65,48,0.039,Toyota Carolla
46,1450.65,486.74,4.71,482.03,968.62,48,0.039,Toyota Carolla
47,968.62,486.74,3.14,483.6,485.02,48,0.039,Toyota Carolla
48,485.02,486.74,1.57,485.17,-0.15,48,0.039,Toyota Carolla
1,21600.0,396.82,70.2,326.62,21273.38,60,0.039,Toyota Carolla
2,21273.38,396.82,69.13,327.69,20945.69,60,0.039,Toyota Carolla
3,20945.69,396.82,68.07,328.75,20616.94,60,0.039,Toyota Carolla
4,20616.94,396.82,67.0,329.82,20287.12,60,0.039,Toyota Carolla
5,20287.12,396.82,65.93,330.89,19956.23,60,0.039,Toyota Carolla
6,19956.23,396.82,64.85,331.97,19624.26,60,0.039,Toyota Carolla
7,19624.26,396.82,63.77,333.05,19291.21,60,0.039,Toyota Carolla
8,19291.21,396.82,62.69,334.13,18957.08,60,0.039,Toyota Carolla
9,18957.08,396.82,61.61,335.21,18621.87,60,0.039,Toyota Carolla
10,18621.87,396.82,60.52,336.3,18285.57,60,0.039,Toyota Carolla
11,18285.57,396.82,59.42,337.4,17948.17,60,0.039,Toyota Carolla
12,17948.17,396.82,58.33,338.49,17609.68,60,0.039,Toyota Carolla
13,17609.68,396.82,57.23,339.59,17270.09,60,0.039,Toyota Carolla
14,17270.09,396.82,56.12,340.7,16929.39,60,0.039,Toyota Carolla
15,16929.39,396.82,55.02,341.8,16587.59,60,0.039,Toyota Carolla
16,16587.59,396.82,53.9,342.92,16244.67,60,0.039,Toyota Carolla
17,16244.67,396.82,52.79,344.03,15900.64,60,0.039,Toyota Carolla
18,15900.64,396.82,51.67,345.15,15555.49,60,0.039,Toyota Carolla
19,15555.49,396.82,50.55,346.27,15209.22,60,0.039,Toyota Carolla
20,15209.22,396.82,49.42,347.4,14861.82,60,0.039,Toyota Carolla
21,14861.82,396.82,48.3,348.52,14513.3,60,0.039,Toyota Carolla
22,14513.3,396.82,47.16,349.66,14163.64,60,0.039,Toyota Carolla
23,14163.64,396.82,46.03,350.79,13812.85,60,0.039,Toyota Carolla
24,13812.85,396.82,44.89,351.93,13460.92,60,0.039,Toyota Carolla
25,13460.92,396.82,43.74,353.08,13107.84,60,0.039,Toyota Carolla
26,13107.84,396.82,42.6,354.22,12753.62,60,0.039,Toyota Carolla
27,12753.62,396.82,41.44,355.38,12398.24,60,0.039,Toyota Carolla
28,12398.24,396.82,40.29,356.53,12041.71,60,0.039,Toyota Carolla
29,12041.71,396.82,39.13,357.69,11684.02,60,0.039,Toyota Carolla
30,11684.02,396.82,37.97,358.85,11325.17,60,0.039,Toyota Carolla
31,11325.17,396.82,36.8,360.02,10965.15,60,0.039,Toyota Carolla
32,10965.15,396.82,35.63,361.19,10603.96,60,0.039,Toyota Carolla
33,10603.96,396.82,34.46,362.36,10241.6,60,0.039,Toyota Carolla
34,10241.6,396.82,33.28,363.54,9878.06,60,0.039,Toyota Carolla
35,9878.06,396.82,32.1,364.72,9513.34,60,0.039,Toyota Carolla
36,9513.34,396.82,30.91,365.91,9147.43,60,0.039,Toyota Carolla
37,9147.43,396.82,29.72,367.1,8780.33,60,0.039,Toyota Carolla
38,8780.33,396.82,28.53,368.29,8412.04,60,0.039,Toyota Carolla
39,8412.04,396.82,27.33,369.49,8042.55,60,0.039,Toyota Carolla
40,8042.55,396.82,26.13,370.69,7671.86,60,0.039,Toyota Carolla
41,7671.86,396.82,24.93,371.89,7299.97,60,0.039,Toyota Carolla
42,7299.97,396.82,23.72,373.1,6926.87,60,0.039,Toyota Carolla
43,6926.87,396.82,22.51,374.31,6552.56,60,0.039,Toyota Carolla
44,6552.56,396.82,21.29,375.53,6177.03,60,0.039,Toyota Carolla
45,6177.03,396.82,20.07,376.75,5800.28,60,0.039,Toyota Carolla
46,5800.28,396.82,18.85,377.97,5422.31,60,0.039,Toyota Carolla
47,5422.31,396.82,17.62,379.2,5043.11,60,0.039,Toyota Carolla
48,5043.11,396.82,16.39,380.43,4662.68,60,0.039,Toyota Carolla
49,4662.68,396.82,15.15,381.67,4281.01,60,0.039,Toyota Carolla
50,4281.01,396.82,13.91,382.91,3898.1,60,0.039,Toyota Carolla
51,3898.1,396.82,12.66,384.16,3513.94,60,0.039,Toyota Carolla
52,3513.94,396.82,11.42,385.4,3128.54,60,0.039,Toyota Carolla
53,3128.54,396.82,10.16,386.66,2741.88,60,0.039,Toyota Carolla
54,2741.88,396.82,8.91,387.91,2353.97,60,0.039,Toyota Carolla
55,2353.97,396.82,7.65,389.17,1964.8,60,0.039,Toyota Carolla
56,1964.8,396.82,6.38,390.44,1574.36,60,0.039,Toyota Carolla
57,1574.36,396.82,5.11,391.71,1182.65,60,0.039,Toyota Carolla
58,1182.65,396.82,3.84,392.98,789.67,60,0.039,Toyota Carolla
59,789.67,396.82,2.56,394.26,395.41,60,0.039,Toyota Carolla
60,395.41,396.82,1.28,395.54,-0.13,60,0.039,Toyota Carolla
1,44409.6,1289.53,107.32,1182.21,43227.39,36,0.029,VW Golf R
2,43227.39,1289.53,104.46,1185.07,42042.32,36,0.029,VW Golf R
3,42042.32,1289.53,101.6,1187.93,40854.39,36,0.029,VW Golf R
4,40854.39,1289.53,98.73,1190.8,39663.59,36,0.029,VW Golf R
5,39663.59,1289.53,95.85,1193.68,38469.91,36,0.029,VW Golf R
6,38469.91,1289.53,92.96,1196.57,37273.34,36,0.029,VW Golf R
7,37273.34,1289.53,90.07,1199.46,36073.88,36,0.029,VW Golf R
8,36073.88,1289.53,87.17,1202.36,34871.52,36,0.029,VW Golf R
9,34871.52,1289.53,84.27,1205.26,33666.26,36,0.029,VW Golf R
10,33666.26,1289.53,81.36,1208.17,32458.09,36,0.029,VW Golf R
11,32458.09,1289.53,78.44,1211.09,31247.0,36,0.029,VW Golf R
12,31247.0,1289.53,75.51,1214.02,30032.98,36,0.029,VW Golf R
13,30032.98,1289.53,72.57,1216.96,28816.02,36,0.029,VW Golf R
14,28816.02,1289.53,69.63,1219.9,27596.12,36,0.029,VW Golf R
15,27596.12,1289.53,66.69,1222.84,26373.28,36,0.029,VW Golf R
16,26373.28,1289.53,63.73,1225.8,25147.48,36,0.029,VW Golf R
17,25147.48,1289.53,60.77,1228.76,23918.72,36,0.029,VW Golf R
18,23918.72,1289.53,57.8,1231.73,22686.99,36,0.029,VW Golf R
19,22686.99,1289.53,54.82,1234.71,21452.28,36,0.029,VW Golf R
20,21452.28,1289.53,51.84,1237.69,20214.59,36,0.029,VW Golf R
21,20214.59,1289.53,48.85,1240.68,18973.91,36,0.029,VW Golf R
22,18973.91,1289.53,45.85,1243.68,17730.23,36,0.029,VW Golf R
23,17730.23,1289.53,42.84,1246.69,16483.54,36,0.029,VW Golf R
24,16483.54,1289.53,39.83,1249.7,15233.84,36,0.029,VW Golf R
25,15233.84,1289.53,36.81,1252.72,13981.12,36,0.029,VW Golf R
26,13981.12,1289.53,33.78,1255.75,12725.37,36,0.029,VW Golf R
27,12725.37,1289.53,30.75,1258.78,11466.59,36,0.029,VW Golf R
28,11466.59,1289.53,27.71,1261.82,10204.77,36,0.029,VW Golf R
29,10204.77,1289.53,24.66,1264.87,8939.9,36,0.029,VW Golf R
30,8939.9,1289.53,21.6,1267.93,7671.97,36,0.029,VW Golf R
31,7671.97,1289.53,18.54,1270.99,6400.98,36,0.029,VW Golf R
32,6400.98,1289.53,15.46,1274.07,5126.91,36,0.029,VW Golf R
33,5126.91,1289.53,12.39,1277.14,3849.77,36,0.029,VW Golf R
34,3849.77,1289.53,9.3,1280.23,2569.54,36,0.029,VW Golf R
35,2569.54,1289.53,6.2,1283.33,1286.21,36,0.029,VW Golf R
36,1286.21,1289.53,3.1,1286.43,-0.22,36,0.029,VW Golf R
1,44409.6,981.02,107.32,873.7,43535.9,48,0.029,VW Golf R
2,43535.9,981.02,105.21,875.81,42660.09,48,0.029,VW Golf R
3,42660.09,981.02,103.09,877.93,41782.16,48,0.029,VW Golf R
4,41782.16,981.02,100.97,880.05,40902.11,48,0.029,VW Golf R
5,40902.11,981.02,98.84,882.18,40019.93,48,0.029,VW Golf R
6,40019.93,981.02,96.71,884.31,39135.62,48,0.029,VW Golf R
7,39135.62,981.02,94.57,886.45,38249.17,48,0.029,VW Golf R
8,38249.17,981.02,92.43,888.59,37360.58,48,0.029,VW Golf R
9,37360.58,981.02,90.28,890.74,36469.84,48,0.029,VW Golf R
10,36469.84,981.02,88.13,892.89,35576.95,48,0.029,VW Golf R
11,35576.95,981.02,85.97,895.05,34681.9,48,0.029,VW Golf R
12,34681.9,981.02,83.81,897.21,33784.69,48,0.029,VW Golf R
13,33784.69,981.02,81.64,899.38,32885.31,48,0.029,VW Golf R
14,32885.31,981.02,79.47,901.55,31983.76,48,0.029,VW Golf R
15,31983.76,981.02,77.29,903.73,31080.03,48,0.029,VW Golf R
16,31080.03,981.02,75.11,905.91,30174.12,48,0.029,VW Golf R
17,30174.12,981.02,72.92,908.1,29266.02,48,0.029,VW Golf R
18,29266.02,981.02,70.72,910.3,28355.72,48,0.029,VW Golf R
19,28355.72,981.02,68.52,912.5,27443.22,48,0.029,VW Golf R
20,27443.22,981.02,66.32,914.7,26528.52,48,0.029,VW Golf R
21,26528.52,981.02,64.11,916.91,25611.61,48,0.029,VW Golf R
22,25611.61,981.02,61.89,919.13,24692.48,48,0.029,VW Golf R
23,24692.48,981.02,59.67,921.35,23771.13,48,0.029,VW Golf R
24,23771.13,981.02,57.44,923.58,22847.55,48,0.029,VW Golf R
25,22847.55,981.02,55.21,925.81,21921.74,48,0.029,VW Golf R
26,21921.74,981.02,52.97,928.05,20993.69,48,0.029,VW Golf R
27,20993.69,981.02,50.73,930.29,20063.4,48,0.029,VW Golf R
28,20063.4,981.02,48.48,932.54,19130.86,48,0.029,VW Golf R
29,19130.86,981.02,46.23,934.79,18196.07,48,0.029,VW Golf R
30,18196.07,981.02,43.97,937.05,17259.02,48,0.029,VW Golf R
31,17259.02,981.02,41.7,939.32,16319.7,48,0.029,VW Golf R
32,16319.7,981.02,39.43,941.59,15378.11,48,0.029,VW Golf R
33,15378.11,981.02,37.16,943.86,14434.25,48,0.029,VW Golf R
34,14434.25,981.02,34.88,946.14,13488.11,48,0.029,VW Golf R
35,13488.11,981.02,32.59,948.43,12539.68,48,0.029,VW Golf R
36,12539.68,981.02,30.3,950.72,11588.96,48,0.029,VW Golf R
37,11588.96,981.02,28.0,953.02,10635.94,48,0.029,VW Golf R
38,10635.94,981.02,25.7,955.32,9680.62,48,0.029,VW Golf R
39,9680.62,981.02,23.39,957.63,8722.99,48,0.029,VW Golf R
40,8722.99,981.02,21.08,959.94,7763.05,48,0.029,VW Golf R
41,7763.05,981.02,18.76,962.26,6800.79,48,0.029,VW Golf R
42,6800.79,981.02,16.43,964.59,5836.2,48,0.029,VW Golf R
43,5836.2,981.02,14.1,966.92,4869.28,48,0.029,VW Golf R
44,4869.28,981.02,11.76,969.26,3900.02,48,0.029,VW Golf R
45,3900.02,981.02,9.42,971.6,2928.42,48,0.029,VW Golf R
46,2928.42,981.02,7.07,973.95,1954.47,48,0.029,VW Golf R
47,1954.47,981.02,4.72,976.3,978.17,48,0.029,VW Golf R
48,978.17,981.02,2.36,978.66,-0.49,48,0.029,VW Golf R
1,44409.6,796.01,107.32,688.69,43720.91,60,0.029,VW Golf R
2,43720.91,796.01,105.65,690.36,43030.55,60,0.029,VW Golf R
3,43030.55,796.01,103.99,692.02,42338.53,60,0.029,VW Golf R
4,42338.53,796.01,102.31,693.7,41644.83,60,0.029,VW Golf R
5,41644.83,796.01,100.64,695.37,40949.46,60,0.029,VW Golf R
6,40949.46,796.01,98.96,697.05,40252.41,60,0.029,VW Golf R
7,40252.41,796.01,97.27,698.74,39553.67,60,0.029,VW Golf R
8,39553.67,796.01,95.58,700.43,38853.24,60,0.029,VW Golf R
